"","YEAR","num_hauls","num_ports"
"1",1987,10,1
"2",1989,107,1
"3",1990,305,69
"4",1991,131,45
"5",1992,93,51
"6",1993,104,74
"7",1994,158,132
"8",1995,70,42
"9",1996,85,63
"10",1997,112,83
"11",1998,375,215
"12",1999,1391,89
"13",2000,1753,565
"14",2001,1359,733
"15",2002,1881,906
"16",2003,1617,772
"17",2004,1456,820
"18",2005,1609,813
"19",2006,1664,725
"20",2007,1888,802
"21",2008,1412,30
"22",2009,1072,23
"23",2010,1676,26
"24",2011,2613,1
"25",2012,2663,1
"26",2013,2616,1
"27",2014,2306,1
"28",2015,2285,1
"29",2016,2196,2
"30",2017,2273,1
"31",2018,2243,1
"32",2019,2174,1
"33",2020,2069,15
"34",2021,1639,23
"35",2022,1231,26
"36",2023,1254,31
"37",2024,1030,31
